cash,35,"(noun,verb)"
cat,1,"(noun,verb)"
catch,7,"(noun,verb)"
category,18,(noun)
cause,38,"(noun,verb)"
celebrate,2,(verb)
celebration,1,(noun)
cell,16,(noun)
certain,71,"(adjective,pronoun)"
certainly,22,(adverb)
chain,7,"(noun,verb)"
chair,3,"(noun,verb)"
challenge,17,"(noun,verb,adjective)"
champion,1,"(noun,verb)"
championship,1,(noun)
chance,31,"(noun,adjective,verb)"
change,67,"(verb,noun)"
channel,1,"(noun,verb)"
chapter,3,(noun)
character,12,"(noun,adjective,verb)"
charge,24,"(verb,noun)"
charity,5,(noun)
chart,10,"(noun,verb)"
cheap,13,"(adjective,adverb)"
check,49,"(verb,noun,interjection)"
cheek,1,(noun)
chemical,12,"(adjective,noun)"
chemistry,23,(noun)
chest,2,(noun)
chicken,29,"(noun,adjective)"
child,30,(noun)
childhood,4,(noun)
chip,4,"(noun,verb)"
chocolate,2,(noun)
choice,21,"(noun,adjective)"
choose,49,(verb)
church,4,(noun)
cigarette,18,(noun)
city,13,(noun)
civil,4,(adjective)
claim,8,"(verb,noun)"
class,35,"(noun,verb,adjective)"
classic,19,"(adjective,noun)"
classroom,7,(noun)
clean,14,"(adjective,adverb,verb)"
clear,35,"(adjective,adverb,verb)"
clearly,11,(adverb)
clerk,2,"(noun,verb)"
click,15,"(noun,verb)"
client,1,(noun)
climate,6,(noun)
clock,1,"(noun,verb)"
close,29,"(adjective,adverb,verb,noun)"
closed,9,"(past,verb)"
closely,9,(adverb)
closet,3,"(noun,verb,adjective)"
clothes,4,(noun)
cloud,2,"(noun,verb)"
club,12,"(noun,verb)"
clue,3,"(noun,verb)"
coach,4,"(noun,verb,adverb)"
coast,38,"(noun,verb)"
coat,6,"(noun,verb)"
code,5,"(noun,verb)"
coffee,4,(noun)
cold,34,"(adjective,noun,adverb)"
collar,3,"(noun,verb)"
collect,6,"(verb,adverb,noun)"
collection,12,(noun)
college,11,(noun)
combination,26,(noun)
combine,6,"(verb,noun)"
come,88,(verb)
comfort,1,"(noun,verb)"
comfortable,17,"(adjective,noun)"
command,6,"(verb,noun)"
comment,3,"(noun,verb)"
commercial,34,"(adjective,noun)"
commission,9,"(noun,verb)"
commit,1,(verb)
committee,3,(noun)
common,69,"(adjective,noun)"
communicate,11,(verb)
